month,days,total_positive_pixels,mean_positive_fraction
2016-01-01,31,93,1.0
2016-02-01,29,615,1.0
2016-03-01,31,757,1.0
2016-04-01,30,748,1.0
2016-05-01,31,1171,1.0
2016-06-01,30,2883,1.0
2016-07-01,31,3574,1.0
2016-08-01,31,7513,1.0
2016-09-01,30,4565,1.0
2016-10-01,31,2813,1.0
2016-11-01,30,2474,1.0
2016-12-01,31,327,1.0
2017-01-01,31,170,1.0
2017-02-01,28,430,1.0
2017-03-01,24,866,1.0
2017-04-01,28,1751,1.0
2017-05-01,31,2292,1.0
2017-06-01,30,2057,1.0
2017-07-01,31,7745,1.0
2017-08-01,31,16340,1.0
2017-09-01,30,15226,1.0
2017-10-01,31,13251,1.0
2017-11-01,30,5110,1.0
2017-12-01,31,9127,1.0
2018-01-01,31,2472,1.0
2018-02-01,28,5469,1.0
2018-03-01,31,1933,1.0
2018-04-01,30,2388,1.0
2018-05-01,31,1608,1.0
2018-06-01,30,2724,1.0
2018-07-01,29,12376,1.0
2018-08-01,31,29405,1.0
2018-09-01,30,7623,1.0
2018-10-01,31,5331,1.0
2018-11-01,30,7454,1.0
2018-12-01,31,1677,1.0
2019-01-01,31,1766,1.0
2019-02-01,28,913,1.0
2019-03-01,31,1784,1.0
2019-04-01,30,2161,1.0
2019-05-01,31,1883,1.0
2019-06-01,30,2520,1.0
2019-07-01,31,2043,1.0
2019-08-01,31,2047,1.0
2019-09-01,30,6592,1.0
2019-10-01,31,6419,1.0
2019-11-01,30,5362,1.0
2019-12-01,31,1168,1.0
2020-01-01,31,2029,1.0
2020-02-01,29,6858,1.0
2020-03-01,31,4533,1.0
2020-04-01,30,2876,1.0
2020-05-01,31,1604,1.0
2020-06-01,30,2085,1.0
2020-07-01,31,4876,1.0
2020-08-01,31,33953,1.0
2020-09-01,30,81168,1.0
2020-10-01,31,18958,1.0
2020-11-01,30,5705,1.0
2020-12-01,31,3342,1.0
2021-01-01,31,3050,1.0
2021-02-01,28,4129,1.0
2021-03-01,31,5782,1.0
2021-04-01,30,3880,1.0
2021-05-01,31,1819,1.0
2021-06-01,30,2589,1.0
2021-07-01,31,15083,1.0
2021-08-01,31,67672,1.0
2021-09-01,30,31254,1.0
2021-10-01,31,6537,1.0
2021-11-01,30,3573,1.0
2021-12-01,31,1974,1.0
2022-01-01,31,2590,1.0
2022-02-01,28,5988,1.0
2022-03-01,31,4039,1.0
2022-04-01,30,982,1.0
2022-05-01,31,1923,1.0
2022-06-01,30,1590,1.0
2022-07-01,31,3373,1.0
2022-08-01,31,4266,1.0
2022-09-01,30,6903,1.0
2022-10-01,31,2289,1.0
2022-11-01,30,3004,1.0
2022-12-01,31,920,1.0
2023-01-01,31,898,1.0
2023-02-01,28,2264,1.0
2023-03-01,31,1071,1.0
2023-04-01,30,3632,1.0
2023-05-01,31,1886,1.0
2023-06-01,30,2859,1.0
2023-07-01,31,3114,1.0
2023-08-01,31,10362,1.0
2023-09-01,30,6110,1.0
2023-10-01,31,7253,1.0
2023-11-01,30,6056,1.0
2023-12-01,31,2669,1.0
2024-01-01,31,1080,1.0
2024-02-01,29,645,1.0
2024-03-01,31,2416,1.0
2024-04-01,30,2588,1.0
2024-05-01,31,2516,1.0
2024-06-01,30,3786,1.0
2024-07-01,31,14521,1.0
2024-08-01,31,5328,1.0
2024-09-01,30,5511,1.0
2024-10-01,31,5019,1.0
2024-11-01,30,4488,1.0
2024-12-01,31,1422,1.0
2025-01-01,31,4368,1.0
2025-02-01,28,1198,1.0
2025-03-01,31,1758,1.0
2025-04-01,30,2881,1.0
2025-05-01,31,2413,1.0
2025-06-01,30,1718,1.0
2025-07-01,31,5413,1.0
2025-08-01,31,6469,1.0
2025-09-01,30,5471,1.0
2025-10-01,31,3031,1.0
2025-11-01,30,2099,1.0
2025-12-01,31,1352,1.0
